asm_area_code,customer_code,Year,Month,Retailers,Invoices,Retailers_Univ,EC
BIHAE,35,2012,2,241,461,241,1.0
BIHAE,35,2012,3,301,568,329,0.914893617
BIHAE,35,2012,4,349,760,355,0.983098592
BIHAE,35,2012,5,334,689,355,0.94084507
BIHAE,35,2012,6,347,664,355,0.977464789
BIHAE,35,2012,7,304,620,355,0.8563380279999999
BIHAE,35,2012,8,292,602,355,0.8225352109999999
BIHAE,35,2012,9,298,561,353,0.844192635
BIHAE,35,2012,10,304,559,351,0.8660968659999999
BIHAE,35,2012,11,311,612,353,0.88101983
BIHAE,35,2012,12,296,570,350,0.845714286
BIHAE,35,2013,1,346,693,355,0.974647887
BIHAE,35,2013,2,353,828,355,0.994366197
BIHAE,35,2013,3,355,791,355,1.0
BIHAE,35,2013,4,355,859,355,1.0
BIHAE,35,2013,5,355,1037,355,1.0
BIHAE,35,2013,6,355,934,355,1.0
BIHAE,35,2013,7,355,958,355,1.0
BIHAE,35,2013,8,355,1036,355,1.0
BIHAE,35,2013,9,344,751,355,0.969014085
BIHAE,35,2013,10,355,957,355,1.0
BIHAE,35,2013,11,355,1082,355,1.0
BIHAE,35,2013,12,355,994,355,1.0
BIHAE,533,2011,4,626,1174,747,0.838018742
BIHAE,533,2011,5,655,1006,749,0.8744993320000001
BIHAE,533,2011,6,607,1064,710,0.854929577
BIHAE,533,2011,7,645,1033,708,0.911016949
BIHAE,533,2011,8,656,1019,719,0.912378303
BIHAE,533,2011,9,676,1120,725,0.932413793
BIHAE,533,2011,10,666,1191,727,0.916093535
BIHAE,533,2011,11,387,633,728,0.531593407
BIHAE,533,2011,12,606,1079,716,0.846368715
BIHAE,533,2012,1,581,1200,696,0.834770115
BIHAE,533,2012,2,590,1140,709,0.832157969
BIHAE,533,2012,3,423,720,704,0.600852273
BIHAE,533,2012,4,664,1395,719,0.923504868
BIHAE,533,2012,5,448,1027,703,0.6372688479999999
BIHAE,533,2012,6,501,953,705,0.710638298
BIHAE,533,2012,7,571,1319,670,0.8522388059999999
BIHAE,533,2012,8,547,1415,686,0.797376093
BIHAE,533,2012,9,610,1441,706,0.864022663
BIHAE,533,2012,10,559,1128,725,0.771034483
BIHAE,533,2012,11,558,883,727,0.7675378270000001
BIHAE,533,2012,12,614,1362,720,0.852777778
BIHAE,533,2013,1,715,1716,728,0.982142857
BIHAE,533,2013,2,598,1557,730,0.8191780820000001
BIHAE,533,2013,3,634,1234,726,0.8732782370000001
BIHAE,533,2013,4,515,1539,715,0.72027972
BIHAE,533,2013,5,697,2397,727,0.958734525
BIHAE,533,2013,6,732,2479,735,0.995918367
BIHAE,533,2013,7,628,1970,743,0.845222073
BIHAE,533,2013,8,691,2205,744,0.928763441
BIHAE,533,2013,9,660,1753,733,0.9004092770000001
BIHAE,533,2013,10,665,1732,738,0.901084011
BIHAE,533,2013,11,738,1721,745,0.990604027
BIHAE,533,2013,12,733,2318,745,0.983892617
BIHAE,534,2011,4,159,277,159,1.0
BIHAE,534,2011,5,167,349,170,0.982352941
BIHAE,534,2011,6,163,453,176,0.926136364
BIHAE,534,2011,7,177,384,177,1.0
BIHAE,534,2011,8,177,481,177,1.0
BIHAE,534,2011,9,175,380,177,0.988700565
BIHAE,534,2011,10,155,379,177,0.875706215
BIHAE,534,2011,11,176,313,177,0.994350282
BIHAE,534,2011,12,177,449,177,1.0
BIHAE,534,2012,1,174,476,177,0.983050847
BIHAE,534,2012,2,166,406,177,0.937853107
BIHAE,534,2012,3,168,309,177,0.949152542
BIHAE,534,2012,4,176,372,177,0.994350282
BIHAE,534,2012,5,173,320,177,0.97740113
BIHAE,534,2012,6,176,423,177,0.994350282
BIHAE,534,2012,7,176,413,177,0.994350282
BIHAE,534,2012,8,179,492,180,0.994444444
BIHAE,534,2012,9,180,377,180,1.0
BIHAE,534,2012,10,180,388,180,1.0
BIHAE,534,2012,11,180,387,180,1.0
BIHAE,534,2012,12,170,408,180,0.944444444
BIHAE,534,2013,1,180,500,180,1.0
BIHAE,534,2013,2,180,536,180,1.0
BIHAE,534,2013,3,180,362,180,1.0
BIHAE,534,2013,4,181,475,181,1.0
BIHAE,534,2013,5,181,642,181,1.0
BIHAE,534,2013,6,181,444,181,1.0
BIHAE,534,2013,7,190,293,195,0.974358974
BIHAE,534,2013,8,213,715,216,0.986111111
BIHAE,534,2013,9,232,601,245,0.946938776
BIHAE,534,2013,10,170,524,247,0.6882591090000001
BIHAE,534,2013,11,171,620,238,0.718487395
BIHAE,534,2013,12,166,684,183,0.907103825
BIHAE,536,2011,4,175,258,175,1.0
BIHAE,536,2011,5,162,258,175,0.925714286
BIHAE,536,2011,6,159,276,175,0.908571429
BIHAE,536,2011,7,161,333,162,0.99382716
BIHAE,536,2011,8,161,285,162,0.99382716
BIHAE,536,2011,9,158,248,163,0.969325153
BIHAE,536,2011,10,176,254,176,1.0
BIHAE,536,2011,11,134,221,176,0.7613636359999999
BIHAE,536,2011,12,169,262,176,0.960227273
BIHAE,536,2012,1,154,219,171,0.900584795
BIHAE,536,2012,2,129,189,172,0.75
BIHAE,536,2012,3,147,215,172,0.854651163
BIHAE,536,2012,4,168,215,174,0.965517241
BIHAE,536,2012,5,160,221,175,0.914285714
BIHAE,536,2012,6,157,212,176,0.892045455
BIHAE,536,2012,7,140,207,175,0.8
BIHAE,536,2012,8,137,174,174,0.787356322
BIHAE,536,2012,9,153,208,169,0.905325444
BIHAE,536,2012,10,161,188,176,0.914772727
BIHAE,536,2012,11,143,191,176,0.8125
BIHAE,536,2012,12,108,140,172,0.627906977
BIHAE,536,2013,1,135,242,157,0.8598726109999999
BIHAE,536,2013,2,176,592,176,1.0
BIHAE,536,2013,3,130,226,176,0.7386363640000001
BIHAE,539,2011,4,490,1246,494,0.991902834
BIHAE,539,2011,5,478,1025,494,0.967611336
BIHAE,539,2011,6,492,1223,497,0.989939638
BIHAE,539,2011,7,484,1201,496,0.975806452
BIHAE,539,2011,8,481,1076,494,0.973684211
BIHAE,539,2011,9,483,918,490,0.985714286
BIHAE,539,2011,10,462,883,494,0.935222672
BIHAE,539,2011,11,453,780,494,0.917004049
BIHAE,539,2011,12,489,1214,498,0.981927711
BIHAE,539,2012,1,475,1057,501,0.948103792
BIHAE,539,2012,2,446,989,506,0.881422925
BIHAE,539,2012,3,442,774,499,0.8857715429999999
BIHAE,539,2012,4,467,1165,478,0.976987448
BIHAE,539,2012,5,449,927,479,0.93736952
BIHAE,539,2012,6,465,984,480,0.96875
BIHAE,539,2012,7,467,1219,480,0.972916667
BIHAE,539,2012,8,455,1116,482,0.943983402
BIHAE,539,2012,9,455,984,484,0.940082645
BIHAE,539,2012,10,482,1125,489,0.985685072
BIHAE,539,2012,11,452,711,487,0.928131417
BIHAE,539,2012,12,477,1062,490,0.973469388
BIHAE,539,2013,1,479,1365,493,0.971602434
BIHAE,539,2013,2,453,1063,491,0.922606925
BIHAE,539,2013,3,435,1035,489,0.889570552
BIHAE,539,2013,4,473,1347,489,0.967280164
BIHAE,539,2013,5,474,1686,490,0.967346939
BIHAE,539,2013,6,456,1367,494,0.923076923
BIHAE,539,2013,7,475,1162,520,0.913461538
BIHAE,539,2013,8,461,1455,531,0.868173258
BIHAE,539,2013,9,424,1231,529,0.801512287
BIHAE,539,2013,10,421,1307,498,0.8453815259999999
BIHAE,539,2013,11,416,1288,444,0.936936937
BIHAE,539,2013,12,422,1342,441,0.9569161
BIHAE,624,2011,4,254,580,267,0.951310861
BIHAE,624,2011,5,257,428,267,0.962546816
BIHAE,624,2011,6,261,563,267,0.97752809
BIHAE,624,2011,7,267,657,267,1.0
BIHAE,624,2011,8,253,490,268,0.944029851
BIHAE,624,2011,9,260,596,268,0.970149254
BIHAE,624,2011,10,235,472,268,0.876865672
BIHAE,624,2011,11,268,414,268,1.0
BIHAE,624,2011,12,268,504,268,1.0
BIHAE,624,2012,1,268,393,268,1.0
BIHAE,624,2012,2,214,315,268,0.798507463
BIHAE,624,2012,3,263,349,268,0.981343284
BIHAE,624,2012,4,264,397,268,0.985074627
