customer_code,date_of_joining
359,1997-08-12
377,1998-04-26
605,2003-02-13
745,2003-09-13
993,2005-03-31
1067,2005-12-22
1159,2007-04-03
1165,2007-03-28
1198,2007-06-17
1201,2007-06-17
1322,2008-06-15
1351,2008-08-16
1423,2009-03-16
1751,2010-03-09
1763,2010-08-09
1775,2010-10-09
1785,2010-12-09
1786,2010-12-09
1787,2010-12-09
1789,2010-09-17
1794,2010-09-17
1934,2011-06-26
1946,2011-10-07
2044,2011-08-10
2117,2012-01-16
2118,2012-01-18
2168,2012-07-04
2206,2012-01-06
2207,2012-01-06
2240,2012-06-29
2247,2012-07-07
2263,2012-07-27
2321,2012-06-09
1793,2010-09-17
375,1998-04-19
1774,2010-10-09
1875,2011-02-27
2317,2012-03-09
332,1997-09-04
764,2003-10-22
2282,2012-04-08
132,1997-03-03
300,1997-02-04
1489,2009-08-13
2338,2012-09-15
56,1997-03-03
832,2004-10-04
1243,2007-10-13
1392,2008-10-12
1536,2009-09-17
1677,2010-04-21
650,2003-11-07
1138,2006-11-24
1453,2009-05-22
1781,2010-12-09
1782,2010-12-09
2033,2011-09-25
2171,2012-08-04
2185,2012-04-26
2205,2012-05-30
2218,2012-06-13
2241,2012-06-29
2245,2012-07-07
1343,2008-07-24
2303,2012-08-26
151,1997-03-03
152,1997-03-03
153,1997-03-03
154,1997-03-03
155,1997-03-03
156,1997-03-03
157,1997-03-03
158,1997-03-03
159,1997-03-03
338,1997-04-19
349,1997-06-25
421,1999-11-13
563,2002-10-08
582,2002-09-22
584,2002-12-10
586,2002-10-13
597,2002-12-20
835,2004-04-18
879,2004-10-20
1039,2005-08-14
1064,2005-11-25
1172,2007-01-04
1206,2007-06-07
1207,2007-08-07
1312,2008-09-05
1345,2008-07-08
1353,2008-08-17
1371,2008-12-10
2310,2012-08-31
2319,2012-06-09
90,1997-03-03
2461,2012-12-22
77,1997-03-03
526,2001-07-12
591,2002-11-22
1105,2006-06-14
1174,2007-06-04
1276,2008-01-31
1316,2008-05-21
1809,2010-10-22
2152,2012-03-23
2250,2012-11-07
2253,2012-07-13
1103,2006-05-28
105,1997-03-03
110,1997-03-03
765,2003-10-24
2284,2012-05-08
2290,2012-12-08
1021,2005-08-06
1534,2009-11-09
44,1997-03-03
47,1997-03-03
256,1997-06-03
865,2004-11-08
963,2005-01-16
1426,2009-03-21
2327,2012-09-09
187,1997-03-03
245,1997-06-03
250,1997-06-03
251,1997-06-03
252,1997-06-03
254,1997-06-03
257,1997-06-03
259,1997-06-03
363,1998-01-22
400,1999-02-18
413,1999-11-08
422,1999-03-12
429,2000-12-02
473,2001-10-06
653,2003-07-16
750,2003-01-10
843,2004-05-13
869,2004-08-29
1014,2005-05-19
1056,2005-10-14
1077,2006-02-17
1124,2006-09-09
1130,2006-09-27
1304,2008-03-04
1337,2008-11-07
1381,2008-10-26
1422,2009-03-15
1447,2009-05-14
1562,2009-11-25
1593,2010-01-17
1653,2010-03-29
1721,2010-07-19
1726,2010-07-30
1933,2011-06-16
2308,2012-08-27
2316,2012-03-09
2339,2012-09-15
2340,2012-09-15
1773,2010-09-09
1938,2011-04-07
1980,2011-07-31
344,1997-05-26
2034,2011-09-26
1,1997-03-03
5,1997-03-03
8,1997-03-03
9,1997-03-03
11,1997-03-03
12,1997-03-03
17,1997-03-03
18,1997-03-03
19,1997-03-03
23,1997-03-03
24,1997-03-03
31,1997-03-03
35,1997-03-03
38,1997-03-03
39,1997-03-03
69,1997-03-03
70,1997-03-03
71,1997-03-03
72,1997-03-03
74,1997-03-03
76,1997-03-03
214,1997-03-03
215,1997-03-03
217,1997-03-03
220,1997-03-03
221,1997-03-03
241,1997-06-03
243,1997-06-03
261,1997-06-03
267,1997-06-03
307,1997-02-04
335,1997-04-17
343,1997-05-17
345,1997-05-31
351,1997-08-20
356,1997-10-22
360,1997-10-12
374,1998-12-04
384,1998-02-09
390,1998-10-30
395,1998-12-17
412,1999-07-23
438,2000-04-21
467,2001-04-19
474,2001-06-15
475,2001-06-16
478,2001-06-08
481,2001-08-22
520,2001-10-20
534,2002-02-27
1062,2005-11-13
1101,2006-05-18
1390,2008-07-12
1690,2010-05-19
1799,2010-06-10
1840,2011-08-01
1845,2011-09-01
1939,2011-04-07
2036,2011-09-29
2074,2011-05-11
183,1997-03-03
1972,2011-07-25
42,1997-03-03
45,1997-03-03
144,1997-03-03
294,1997-02-04
399,1999-01-16
482,2001-08-24
607,2003-02-23
1090,2006-04-16
1203,2007-06-23
1780,2010-12-09
1896,2011-03-31
1961,2011-07-21
2287,2012-09-08
79,1997-03-03
121,1997-03-03
382,1998-08-19
1754,2010-04-09
166,1997-03-03
1363,2008-09-20
1697,2010-05-29
1455,2009-05-20
1722,2010-07-17
2,1997-03-03
13,1997-03-03
15,1997-03-03
274,1997-06-03
536,2002-01-03
235,1997-06-03
1274,2008-01-24
2016,2011-11-09
1591,2010-01-15
448,2000-06-24
538,2002-03-03
539,2002-06-03
540,2002-10-03
541,2002-10-03
542,2002-10-03
546,2002-07-04
554,2002-06-22
559,2002-12-07
561,2002-07-21
593,2002-02-12
599,2003-01-18
609,2003-03-15
612,2003-05-04
614,2003-11-04
620,2003-04-20
638,2003-05-06
649,2003-09-07
656,2003-07-20
748,2003-09-19
768,2003-05-11
798,2004-02-14
802,2004-11-03
803,2004-12-03
883,2004-10-29
957,2004-12-22
962,2005-01-15
999,2005-03-04
1001,2005-07-04
1008,2005-04-20
1024,2005-06-15
1033,2005-07-20
1051,2005-09-21
1219,2007-07-22
1227,2007-08-26
1257,2007-11-25
1272,2008-01-20
1281,2008-02-15
1284,2008-02-24
1295,2008-03-28
1297,2008-03-29
1306,2008-09-04
1357,2008-11-09
1359,2008-09-17
1393,2008-12-12
1401,2008-12-24
1432,2009-04-04
1436,2009-04-04
1439,2009-04-16
1475,2009-11-07
1482,2009-07-29
1532,2009-11-09
1543,2009-10-21
1590,2010-01-13
1606,2010-10-02
1634,2010-03-27
1648,2010-03-28
1649,2010-03-28
1670,2010-04-15
1676,2010-04-18
1678,2010-04-22
1695,2010-05-27
1724,2010-07-25
1730,2010-01-08
1733,2010-05-08
1745,2010-08-22
1766,2010-06-09
1803,2010-10-21
1812,2010-10-31
1817,2010-11-17
1818,2010-11-18
1819,2010-11-18
1824,2010-11-28
1855,2011-02-13
1877,2011-03-03
1888,2011-03-23
1889,2011-03-27
1897,2011-02-04
1899,2011-08-04
1904,2011-04-22
1914,2011-08-05
1927,2011-05-06
1929,2011-10-06
1948,2011-07-14
1950,2011-07-15
1954,2011-07-15
1956,2011-07-17
1997,2011-08-28
2008,2011-07-09
2011,2011-08-09
2075,2011-11-13
2112,2012-08-01
2119,2012-01-21
2120,2012-01-22
2121,2012-01-25
2174,2012-04-13
2178,2012-04-15
2182,2012-04-23
2200,2012-05-26
2329,2012-09-13
2330,2012-09-13
2342,2012-09-16
2199,2012-05-26
146,1997-03-03
149,1997-03-03
442,2000-05-24
1831,2010-10-12
2132,2012-02-22
2315,2012-03-09
29,1997-03-03
32,1997-03-03
34,1997-03-03
469,2001-04-22
535,2002-02-28
547,2002-04-19
1360,2008-09-18
1411,2009-01-30
1853,2011-12-02
1960,2011-07-20
1986,2011-08-08
2307,2012-08-27
1879,2011-04-03
2279,2012-02-08
104,1997-03-03
236,1997-06-03
337,1997-04-18
408,1999-03-05
596,2002-12-18
846,2004-05-27
998,2005-03-04
1155,2007-11-02
1989,2011-08-18
2035,2011-09-28
2318,2012-03-09
523,2001-11-17
1148,2007-01-13
1186,2007-09-05
1752,2010-03-09
2243,2012-05-07
944,2004-11-24
1526,2009-08-29
1672,2010-03-05
2031,2011-09-25
2115,2012-12-01
108,1997-03-03
446,2000-06-14
1416,2009-02-13
1886,2011-03-19
2244,2012-06-07
330,1997-09-04
1252,2007-11-17
1873,2011-02-25
2082,2011-11-27
43,1997-03-03
60,1997-03-03
62,1997-03-03
64,1997-03-03
68,1997-03-03
80,1997-03-03
86,1997-03-03
87,1997-03-03
89,1997-03-03
93,1997-03-03
96,1997-03-03
98,1997-03-03
114,1997-03-03
116,1997-03-03
120,1997-03-03
122,1997-03-03
123,1997-03-03
124,1997-03-03
126,1997-03-03
131,1997-03-03
134,1997-03-03
135,1997-03-03
163,1997-03-03
175,1997-03-03
178,1997-03-03
180,1997-03-03
181,1997-03-03
188,1997-03-03
227,1997-06-03
228,1997-06-03
231,1997-06-03
232,1997-06-03
238,1997-06-03
247,1997-06-03
276,1997-06-03
278,1997-06-03
285,1997-06-03
292,1997-02-04
296,1997-02-04
299,1997-02-04
302,1997-02-04
303,1997-02-04
305,1997-02-04
325,1997-07-04
326,1997-09-04
327,1997-09-04
328,1997-09-04
333,1997-11-04
357,1997-10-25
368,1998-02-25
379,1998-03-07
385,1998-12-09
388,1998-09-10
393,1998-11-26
394,1998-12-16
419,1999-09-29
427,2000-01-16
440,2000-05-18
455,2000-10-09
456,2000-09-24
457,2000-10-25
464,2001-03-24
470,2001-04-27
483,2001-08-29
525,2001-07-12
530,2002-02-23
532,2002-02-24
548,2002-09-05
553,2002-06-21
555,2002-06-23
556,2002-06-26
595,2002-12-15
611,2003-02-04
619,2003-04-20
636,2003-05-06
731,2003-08-22
743,2003-09-13
747,2003-09-17
775,2003-11-20
873,2004-09-18
958,2004-12-23
960,2005-01-13
961,2005-01-15
975,2005-11-02
990,2005-03-25
1000,2005-03-04
1006,2005-04-15
1020,2005-04-06
