asm_area_code,customer_code,Year,Month,unique_retailers,invoice_count
MUMB2,991,2012,10,1103,3915
COIM,285,2013,9,294,482
HYDE2,250,2013,10,144,535
BIHAW,1960,2013,2,92,122
HARY&,68,2011,11,151,325
PUNEN,1131,2011,4,1166,2508
PUNJ,2414,2013,4,168,369
BENGS,23,2011,6,492,1005
PUNJ,2478,2013,4,1158,2039
CENTU,2062,2012,8,167,429
HARY&,1567,2012,1,579,1272
NER,219,2011,5,332,732
HYDE2,1304,2011,5,436,1031
NAGP,99,2012,5,2558,7895
ORIS,1590,2011,11,160,308
PUNEN,330,2013,12,100,365
BANG,1756,2012,1,655,1202
RAJA,2586,2013,8,306,940
COIM,337,2013,2,2123,3255
GUJAN,1448,2013,2,683,1566
BANG,2495,2013,5,18,18
MUMB2,456,2012,11,23,23
BENGS,1284,2012,1,249,632
HARY&,2336,2012,11,170,336
GUJAS,1449,2012,6,659,1420
WESTM,521,2013,2,1107,3157
HYDE2,1841,2011,4,780,1533
JHAR,550,2011,11,111,187
PUNES,1343,2012,1,328,563
PUNEN,1347,2013,12,111,244
EASTM,72,2011,4,156,244
PUNES,1244,2012,8,153,377
BENGN,21,2011,6,174,273
NAGP,97,2013,9,768,1509
EASTU,1042,2012,5,1967,2495
BENGS,1558,2013,5,881,3453
PUNJ,238,2013,3,172,307
CHEN,315,2012,1,165,276
COIM,337,2013,11,1910,3734
NER,1883,2013,9,81,115
EASTU,281,2011,12,260,1036
VIJA,47,2012,1,409,826
GUJAN,131,2012,1,209,421
EASTM,1877,2013,6,312,653
EASTM,1929,2013,6,208,720
MUMB2,1878,2012,10,2077,7163
HUBL,427,2011,7,218,367
RAJA,408,2011,8,990,2087
BANG,434,2012,2,515,1712
BANG,344,2012,5,1274,2881
BANG,2458,2013,5,327,493
PUNES,328,2013,6,130,295
NER,648,2013,4,236,270
ORIS,13,2011,9,154,268
WESTM,1115,2012,5,24,140
GUJAN,131,2013,5,211,818
HYDE2,1933,2012,12,784,1593
ORIS,1436,2012,2,566,1108
HYDE2,2339,2013,2,130,411
BANG,147,2012,11,2036,3920
HUBL,180,2012,12,671,1511
PUNEN,1198,2012,8,77,106
BENGN,2543,2013,6,150,420
GUJAN,470,2012,4,938,2343
HYDE2,252,2012,7,115,199
WESTM,521,2013,11,1465,3934
NAGP,1036,2011,7,928,2264
PUNES,1343,2013,5,370,799
PUNEN,332,2013,9,113,312
MUMB2,532,2013,2,1106,3525
BANG,1756,2013,5,650,1217
CHEN,595,2011,11,361,682
ORIS,1590,2013,3,160,418
MUMB2,300,2013,12,988,2537
WESTM,361,2013,7,230,821
ORIS,9,2012,1,221,448
MUMB2,456,2011,8,68,125
PUNES,1245,2013,9,165,693
PUNEN,1575,2013,7,133,223
VIJA,48,2011,4,129,317
HYDE2,1593,2012,9,104,248
BANG,1981,2012,3,602,1088
MUMB1,1243,2011,10,1254,5156
MUMB1,1392,2011,9,4816,17784
ORIS,12,2012,1,135,409
WESTM,1098,2013,2,322,682
PUNEN,1322,2013,2,111,253
DELHM,1316,2012,8,1797,3986
HYDE1,442,2011,6,75,197
VIJA,341,2011,10,118,315
