asm_area_code,customer_code,Month,Year,pri_ind_bpm_apo_plan,Daily_Coverage_perc,Overall_bpm_actuals
BIHAE,30,1,2012,6093694.529,0,0
BIHAE,30,2,2012,9321121.668,0,0
BIHAE,30,3,2012,6256122.415,0,0
BIHAE,30,4,2012,12568293.66,0,0
BIHAE,30,5,2011,11463496.82,0,0
BIHAE,30,5,2012,7712255.624,0,0
BIHAE,30,6,2012,2465921.923,0,0
BIHAE,30,7,2011,5871118.081,0,0
BIHAE,30,7,2012,1411844.63,0,0
BIHAE,30,8,2011,8694984.762,0,0
BIHAE,30,9,2011,7944498.047,0,0
BIHAE,30,10,2011,5896510.007,0,0
BIHAE,30,12,2011,8740525.381,0,0
BIHAE,35,1,2012,2148217.144,49.49895673,1063345.075
BIHAE,35,1,2013,4734066.253,33.16141038,1569883.138
BIHAE,35,2,2012,4036853.367,37.1351028,1499089.648
BIHAE,35,2,2013,6110500.555,29.66646329,1812769.404
BIHAE,35,3,2012,2454080.577,40.89789343,1003667.259
BIHAE,35,3,2013,3558975.151,28.85388059,1026902.441
BIHAE,35,4,2012,5309695.873,38.66204643,2052837.084
BIHAE,35,4,2013,9731180.171,26.36311317,2565442.041
BIHAE,35,5,2011,3649743.566,31.54387256,1151270.459
BIHAE,35,5,2012,3706318.214,40.57826115,1503959.484
BIHAE,35,5,2013,6559534.188,24.30179393,1594084.481
BIHAE,35,6,2012,4006033.324,45.8464953,1836625.88
BIHAE,35,6,2013,6854287.032,19.55462796,1340330.328
BIHAE,35,7,2011,1932569.002,37.34354544,721689.7832
BIHAE,35,7,2012,2829821.633,44.65921858,1263776.228
BIHAE,35,7,2013,5445310.822,30.7446763,1674143.186
BIHAE,35,8,2011,3059036.456,38.09655059,1165387.371
BIHAE,35,8,2012,5699469.762,29.51618909,1682266.272
BIHAE,35,8,2013,5448132.312,42.1997493,2299098.177
BIHAE,35,9,2011,3726660.801,37.3321825,1391243.812
BIHAE,35,9,2012,6228198.615,30.34577239,1889994.975
BIHAE,35,9,2013,5455289.332,37.15131785,2026711.879
BIHAE,35,10,2011,2129965.884,52.81245959,1124887.372
BIHAE,35,10,2012,4199644.916,35.87301822,1506539.386
BIHAE,35,10,2013,4316364.381,51.96474855,2242987.897
BIHAE,35,11,2012,5837984.857,14.78830155,863338.805
BIHAE,35,11,2013,5794273.259,30.81711228,1785627.696
BIHAE,35,12,2011,2962050.422,58.62301127,1736443.152
BIHAE,35,12,2012,5547249.517,42.06355846,2333370.543
BIHAE,35,12,2013,3923119.518,54.99648334,2157577.772
BIHAE,533,1,2012,4295451.86,97.66554122,4195176.307
BIHAE,533,1,2013,4762828.881,85.18413303,4057174.49
BIHAE,533,2,2012,6082584.359,82.64748469,5027102.977
BIHAE,533,2,2013,6158681.152,90.95530034,5601646.939
BIHAE,533,3,2012,3941992.178,57.86522496,2281042.642
BIHAE,533,3,2013,3591408.002,94.02215824,3376719.314
BIHAE,533,4,2012,8194506.372,78.65576164,6445451.399
BIHAE,533,4,2013,9793614.733,83.57617868,8185128.949
BIHAE,533,5,2011,3764220.567,135.5853113,5103730.174
BIHAE,533,5,2012,5267409.89,85.75019259,4516814.125
BIHAE,533,5,2013,6596747.569,56.83044713,3748961.14
BIHAE,533,6,2012,4147819.747,116.6101942,4836780.662
BIHAE,533,6,2013,6900317.314,47.25714347,3260892.853
BIHAE,533,7,2011,3681793.41,69.04416348,2542063.461
BIHAE,533,7,2012,2852803.206,84.85403621,2420718.666
BIHAE,533,7,2013,5496285.36,72.04281466,3959678.675
