asm_area_code,customer_code,Year,Month,labor_in_person_days
BIHAE,35,2012,2,12
BIHAE,35,2012,3,0
BIHAE,35,2012,4,2
BIHAE,35,2012,5,1
BIHAE,35,2012,6,0
BIHAE,35,2012,7,2
BIHAE,35,2012,8,1
BIHAE,35,2012,9,0
BIHAE,35,2012,10,2
BIHAE,35,2012,11,0
BIHAE,35,2012,12,0
BIHAE,35,2013,1,8
BIHAE,35,2013,2,16
BIHAE,35,2013,3,16
BIHAE,35,2013,4,41
BIHAE,35,2013,5,48
BIHAE,35,2013,6,43
BIHAE,35,2013,7,45
BIHAE,35,2013,8,46
BIHAE,35,2013,9,37
BIHAE,35,2013,10,45
BIHAE,35,2013,11,46
BIHAE,35,2013,12,46
BIHAE,533,2011,4,1
BIHAE,533,2011,5,0
BIHAE,533,2011,6,0
BIHAE,533,2011,7,0
BIHAE,533,2011,8,0
BIHAE,533,2011,9,0
BIHAE,533,2011,10,0
BIHAE,533,2011,11,3
BIHAE,533,2011,12,2
BIHAE,533,2012,1,3
BIHAE,533,2012,2,5
BIHAE,533,2012,3,0
BIHAE,533,2012,4,3
BIHAE,533,2012,5,0
BIHAE,533,2012,6,1
BIHAE,533,2012,7,2
BIHAE,533,2012,8,4
BIHAE,533,2012,9,4
BIHAE,533,2012,10,0
BIHAE,533,2012,11,2
BIHAE,533,2012,12,4
BIHAE,533,2013,1,5
BIHAE,533,2013,2,6
BIHAE,533,2013,3,3
BIHAE,533,2013,4,14
BIHAE,533,2013,5,27
BIHAE,533,2013,6,50
BIHAE,533,2013,7,54
BIHAE,533,2013,8,72
BIHAE,533,2013,9,61
BIHAE,533,2013,10,55
BIHAE,533,2013,11,52
BIHAE,533,2013,12,69
BIHAE,534,2011,4,1
BIHAE,534,2011,5,1
BIHAE,534,2011,6,0
BIHAE,534,2011,7,0
BIHAE,534,2011,8,2
BIHAE,534,2011,9,0
BIHAE,534,2011,10,1
BIHAE,534,2011,11,0
BIHAE,534,2011,12,3
BIHAE,534,2012,1,0
BIHAE,534,2012,2,0
BIHAE,534,2012,3,0
BIHAE,534,2012,4,0
BIHAE,534,2012,5,0
BIHAE,534,2012,6,1
BIHAE,534,2012,7,0
BIHAE,534,2012,8,0
BIHAE,534,2012,9,0
BIHAE,534,2012,10,1
BIHAE,534,2012,11,2
BIHAE,534,2012,12,2
BIHAE,534,2013,1,12
BIHAE,534,2013,2,11
BIHAE,534,2013,3,6
BIHAE,534,2013,4,17
BIHAE,534,2013,5,25
BIHAE,534,2013,6,20
BIHAE,534,2013,7,1
BIHAE,534,2013,8,20
BIHAE,534,2013,9,8
BIHAE,534,2013,10,0
BIHAE,534,2013,11,2
BIHAE,534,2013,12,23
BIHAE,536,2011,4,0
BIHAE,536,2011,5,0
BIHAE,536,2011,6,0
BIHAE,536,2011,7,0
BIHAE,536,2011,8,0
BIHAE,536,2011,9,0
BIHAE,536,2011,10,0
BIHAE,536,2011,11,0
BIHAE,536,2011,12,1
BIHAE,536,2012,1,0
BIHAE,536,2012,2,2
BIHAE,536,2012,3,0
BIHAE,536,2012,4,0
BIHAE,536,2012,5,0
BIHAE,536,2012,6,0
BIHAE,536,2012,7,0
BIHAE,536,2012,8,0
BIHAE,536,2012,9,0
BIHAE,536,2012,10,0
BIHAE,536,2012,11,0
BIHAE,536,2012,12,0
BIHAE,536,2013,1,4
BIHAE,536,2013,2,11
BIHAE,536,2013,3,3
BIHAE,539,2011,4,7
BIHAE,539,2011,5,4
BIHAE,539,2011,6,3
BIHAE,539,2011,7,7
BIHAE,539,2011,8,9
BIHAE,539,2011,9,8
BIHAE,539,2011,10,6
BIHAE,539,2011,11,5
BIHAE,539,2011,12,3
BIHAE,539,2012,1,7
BIHAE,539,2012,2,0
BIHAE,539,2012,3,0
BIHAE,539,2012,4,8
BIHAE,539,2012,5,7
BIHAE,539,2012,6,10
BIHAE,539,2012,7,15
BIHAE,539,2012,8,12
BIHAE,539,2012,9,13
BIHAE,539,2012,10,10
BIHAE,539,2012,11,5
BIHAE,539,2012,12,10
BIHAE,539,2013,1,19
BIHAE,539,2013,2,27
BIHAE,539,2013,3,36
BIHAE,539,2013,4,57
BIHAE,539,2013,5,69
BIHAE,539,2013,6,58
BIHAE,539,2013,7,37
BIHAE,539,2013,8,44
BIHAE,539,2013,9,40
BIHAE,539,2013,10,47
BIHAE,539,2013,11,65
BIHAE,539,2013,12,65
BIHAE,624,2011,4,0
BIHAE,624,2011,5,0
BIHAE,624,2011,6,0
BIHAE,624,2011,7,0
BIHAE,624,2011,8,0
BIHAE,624,2011,9,1
BIHAE,624,2011,10,1
BIHAE,624,2011,11,3
BIHAE,624,2011,12,2
BIHAE,624,2012,1,2
BIHAE,624,2012,2,0
BIHAE,624,2012,3,0
BIHAE,624,2012,4,2
BIHAE,624,2012,5,1
BIHAE,624,2012,6,0
BIHAE,624,2012,7,0
BIHAE,624,2012,8,2
BIHAE,624,2012,9,0
BIHAE,624,2012,10,0
BIHAE,803,2011,4,2
BIHAE,803,2011,5,0
BIHAE,803,2011,6,1
BIHAE,803,2011,7,3
BIHAE,803,2011,8,7
BIHAE,803,2011,9,9
BIHAE,803,2011,10,0
BIHAE,803,2011,11,1
BIHAE,803,2011,12,3
BIHAE,803,2012,1,2
BIHAE,803,2012,2,1
BIHAE,803,2012,3,1
BIHAE,803,2012,4,2
BIHAE,803,2012,5,1
BIHAE,803,2012,6,0
BIHAE,803,2012,7,0
BIHAE,803,2012,8,0
BIHAE,803,2012,9,0
BIHAE,803,2012,10,0
BIHAE,803,2012,11,0
BIHAE,803,2012,12,0
BIHAE,803,2013,1,1
BIHAE,803,2013,2,13
BIHAE,803,2013,3,3
BIHAE,803,2013,4,18
BIHAE,803,2013,5,18
BIHAE,803,2013,6,22
BIHAE,803,2013,7,3
BIHAE,803,2013,8,16
BIHAE,803,2013,9,21
BIHAE,803,2013,10,16
BIHAE,803,2013,11,20
BIHAE,803,2013,12,24
BIHAE,1024,2011,4,1
BIHAE,1024,2011,5,3
BIHAE,1024,2011,6,4
BIHAE,1024,2011,7,6
BIHAE,1024,2011,8,5
BIHAE,1024,2011,9,6
BIHAE,1024,2011,10,6
BIHAE,1024,2011,11,4
BIHAE,1024,2011,12,3
BIHAE,1024,2012,1,6
BIHAE,1024,2012,2,1
BIHAE,1024,2012,3,0
BIHAE,1024,2012,4,0
BIHAE,1024,2012,5,8
BIHAE,1024,2012,6,2
BIHAE,1024,2012,7,3
BIHAE,1024,2012,8,3
BIHAE,1024,2012,9,4
BIHAE,1024,2012,10,4
BIHAE,1024,2012,11,2
BIHAE,1024,2012,12,2
BIHAE,1024,2013,1,11
BIHAE,1024,2013,2,18
BIHAE,1024,2013,3,23
BIHAE,1024,2013,4,18
BIHAE,1024,2013,5,20
BIHAE,1024,2013,6,47
BIHAE,1024,2013,7,46
BIHAE,1024,2013,8,47
BIHAE,1024,2013,9,44
BIHAE,1024,2013,10,31
BIHAE,1024,2013,11,43
BIHAE,1024,2013,12,47
BIHAE,1219,2011,4,0
BIHAE,1219,2011,5,0
BIHAE,1219,2011,6,1
BIHAE,1219,2011,7,0
BIHAE,1219,2011,8,1
BIHAE,1219,2011,9,0
BIHAE,1219,2011,10,0
BIHAE,1219,2011,11,0
BIHAE,1219,2011,12,0
BIHAE,1219,2012,1,0
BIHAE,1219,2012,2,1
BIHAE,1219,2012,3,0
BIHAE,1219,2012,4,0
BIHAE,1219,2012,5,0
BIHAE,1219,2012,6,0
BIHAE,1219,2012,7,1
BIHAE,1219,2012,8,1
BIHAE,1219,2012,9,0
BIHAE,1219,2012,10,0
BIHAE,1219,2012,11,1
BIHAE,1219,2012,12,2
BIHAE,1219,2013,1,7
BIHAE,1219,2013,2,14
BIHAE,1219,2013,3,12
BIHAE,1219,2013,4,19
BIHAE,1219,2013,5,17
BIHAE,1219,2013,6,14
BIHAE,1219,2013,7,18
BIHAE,1219,2013,8,20
BIHAE,1219,2013,9,21
BIHAE,1219,2013,10,16
BIHAE,1219,2013,11,23
BIHAE,1219,2013,12,23
BIHAE,1274,2011,6,1
BIHAE,1274,2011,7,5
BIHAE,1274,2011,8,3
BIHAE,1274,2011,9,4
BIHAE,1274,2011,10,2
BIHAE,1274,2011,11,2
BIHAE,1274,2011,12,1
BIHAE,1274,2012,1,2
BIHAE,1274,2012,2,3
BIHAE,1274,2012,3,1
BIHAE,1274,2012,4,1
BIHAE,1274,2012,5,0
BIHAE,1274,2012,6,3
BIHAE,1274,2012,7,1
BIHAE,1274,2012,8,1
BIHAE,1274,2012,9,1
BIHAE,1274,2012,10,0
BIHAE,1274,2012,11,0
BIHAE,1274,2012,12,0
BIHAE,1274,2013,1,15
BIHAE,1274,2013,2,24
BIHAE,1274,2013,3,19
BIHAE,1274,2013,4,21
BIHAE,1274,2013,5,24
BIHAE,1274,2013,6,22
BIHAE,1274,2013,7,19
BIHAE,1274,2013,8,19
BIHAE,1274,2013,9,19
BIHAE,1274,2013,10,18
BIHAE,1274,2013,11,22
BIHAE,1274,2013,12,23
BIHAE,1297,2011,4,0
BIHAE,1297,2011,5,0
BIHAE,1297,2011,6,0
BIHAE,1297,2011,7,0
BIHAE,1297,2011,8,0
BIHAE,1297,2011,9,0
BIHAE,1297,2011,10,0
BIHAE,1297,2011,11,0
BIHAE,1297,2011,12,0
BIHAE,1297,2012,1,0
BIHAE,1297,2012,2,0
BIHAE,1297,2012,3,2
BIHAE,1297,2012,4,0
BIHAE,1297,2012,5,0
BIHAE,1297,2012,6,0
BIHAE,1297,2012,7,0
BIHAE,1297,2012,8,0
BIHAE,1297,2012,9,0
BIHAE,1297,2012,10,0
BIHAE,1297,2012,11,0
BIHAE,1297,2012,12,0
BIHAE,1297,2013,1,0
BIHAE,1297,2013,2,0
BIHAE,1297,2013,3,0
BIHAE,1297,2013,4,16
BIHAE,1297,2013,5,16
BIHAE,1297,2013,6,15
BIHAE,1297,2013,7,1
BIHAE,1297,2013,8,1
BIHAE,1297,2013,9,13
BIHAE,1297,2013,10,7
BIHAE,1297,2013,11,8
BIHAE,1297,2013,12,0
BIHAE,1413,2011,4,3
BIHAE,1413,2011,5,6
BIHAE,1413,2011,6,6
BIHAE,1413,2011,7,6
BIHAE,1413,2011,8,2
BIHAE,1413,2011,9,2
BIHAE,1413,2011,10,2
BIHAE,1413,2011,11,1
BIHAE,1413,2011,12,3
BIHAE,1413,2012,1,2
BIHAE,1413,2012,2,2
BIHAE,1413,2012,3,2
BIHAE,1413,2012,4,1
BIHAE,1413,2012,5,2
BIHAE,1413,2012,6,2
BIHAE,1413,2012,7,3
BIHAE,1413,2012,8,6
BIHAE,1413,2012,9,8
BIHAE,1413,2012,10,6
BIHAE,1413,2012,11,5
BIHAE,1413,2012,12,4
BIHAE,1413,2013,1,5
BIHAE,1413,2013,2,10
BIHAE,1413,2013,3,8
BIHAE,1413,2013,4,25
BIHAE,1413,2013,5,24
BIHAE,1413,2013,6,24
