customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
2152,2013,3,STONOTAVA,104.63,0.0,104.63,0.0,0.0,0.0,338083.6
344,2013,3,STONOTAVA,117.13,0.0,117.13,0.0,0.0,0.0,419709.15
850,2013,3,STONOTAVA,65.55,0.0,65.55,0.0,0.0,0.0,232049.76
876,2013,3,STONOTAVA,77.11,0.0,77.11,0.0,0.0,0.0,217469.7
1526,2013,3,STONOTAVA,169.29,0.0,169.29,0.0,0.0,0.0,668951.3
2069,2013,3,STONOTAVA,45.71,0.0,45.71,0.0,0.0,0.0,165975.39
650,2013,3,NOTINV,69.33,0.0,69.33,0.0,0.0,0.0,41542.0
1864,2013,3,OTHE,5.0,0.0,5.0,0.0,0.0,0.0,15395.24
1856,2013,3,STONOTAVA,558.33,0.0,558.33,0.0,0.0,0.0,2338600.1
127,2013,3,NOTINV,18.0,0.0,18.0,0.0,0.0,0.0,45743.04
1067,2013,3,STONOTAVA,31.3,0.0,31.3,0.0,0.0,0.0,109788.66
2479,2013,3,STONOTAVA,186.0,0.0,186.0,0.0,0.0,0.0,653306.86
1293,2013,3,STONOTAVA,8.3,0.0,8.3,0.0,0.0,0.0,33481.6
993,2013,3,STONOTAVA,3.18,0.0,3.18,0.0,0.0,0.0,10433.09
98,2013,3,STONOTAVA,68.0,0.0,68.0,0.0,0.0,0.0,234489.52
1570,2013,3,STONOTAVA,23.29,0.0,23.29,0.0,0.0,0.0,62962.57
2303,2013,3,CREISS,251.0,0.0,251.0,0.0,0.0,0.0,811238.42
2400,2013,3,CREISS,256.03,0.0,256.03,0.0,0.0,0.0,714526.43
281,2013,3,CREISS,253.0,0.0,253.0,0.0,0.0,0.0,779701.74
1953,2013,3,STONOTAVA,15.4,0.0,15.4,0.0,0.0,0.0,51107.06
1757,2013,3,STONOTAVA,50.72,0.0,50.72,0.0,0.0,0.0,190089.06
1565,2013,3,OTHE,2.45,0.0,2.45,0.0,0.0,0.0,7006.2
2233,2013,3,STONOTAVA,13.1,0.0,13.1,0.0,0.0,0.0,64053.57
1756,2013,3,CREISS,121.0,0.0,121.0,0.0,0.0,0.0,502050.84
1392,2013,3,STONOTAVA,188.0,0.0,188.0,0.0,0.0,0.0,856590.38
408,2013,3,STONOTAVA,84.0,0.0,84.0,0.0,0.0,0.0,229535.44
1878,2013,3,STONOTAVA,68.0,0.0,68.0,0.0,0.0,0.0,269061.0
368,2013,3,STONOTAVA,119.17,0.0,119.17,0.0,0.0,0.0,314264.16
2392,2013,3,STONOTAVA,92.4,0.0,92.4,0.0,0.0,0.0,280880.08
2499,2013,3,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,14916.96
1145,2013,3,STONOTAVA,255.54,0.0,255.54,0.0,0.0,0.0,1435615.76
1281,2013,3,STONOTAVA,32.84,0.0,32.84,0.0,0.0,0.0,99980.82
2322,2013,3,CREISS,110.0,0.0,110.0,0.0,0.0,0.0,326147.68
93,2013,3,STONOTAVA,18.04,0.0,18.04,0.0,0.0,0.0,59807.38
366,2013,3,STONOTAVA,60.0,0.0,60.0,0.0,0.0,0.0,145151.64
1608,2013,3,STONOTAVA,15.31,0.0,15.31,0.0,0.0,0.0,44124.58
81,2013,3,STONOTAVA,63.29,0.0,63.29,0.0,0.0,0.0,245496.48
1155,2013,3,STONOTAVA,96.0,0.0,96.0,0.0,0.0,0.0,299010.42
981,2013,3,STONOTAVA,24.27,0.0,24.27,0.0,0.0,0.0,72605.96
2381,2013,3,STONOTAVA,26.75,0.0,26.75,0.0,0.0,0.0,92695.78
393,2013,3,STONOTAVA,31.55,0.0,31.55,0.0,0.0,0.0,71363.48
99,2013,3,STONOTAVA,107.0,0.0,107.0,0.0,0.0,0.0,330775.9
2177,2013,3,STONOTAVA,39.0,0.0,39.0,0.0,0.0,0.0,124985.28
729,2013,3,STONOTAVA,137.1,0.0,137.1,0.0,0.0,0.0,517150.06
1665,2013,3,STONOTAVA,114.06,0.0,114.06,0.0,0.0,0.0,347719.0
1174,2013,3,STONOTAVA,60.41,0.0,60.41,0.0,0.0,0.0,235963.8
1165,2013,3,STONOTAVA,18.0,0.0,18.0,0.0,0.0,0.0,51722.56
1531,2013,3,STONOTAVA,17.0,0.0,17.0,0.0,0.0,0.0,64048.4
1146,2013,3,STONOTAVA,53.16,0.0,53.16,0.0,0.0,0.0,199603.72
2027,2013,3,STONOTAVA,4.15,0.0,4.15,0.0,0.0,0.0,16387.26
2398,2013,3,STONOTAVA,5.0,0.0,5.0,0.0,0.0,0.0,15967.56
2143,2013,3,STONOTAVA,43.0,0.0,43.0,0.0,0.0,0.0,122483.21
1563,2013,3,STONOTAVA,12.17,0.0,12.17,0.0,0.0,0.0,58242.84
1506,2013,3,STONOTAVA,47.0,0.0,47.0,0.0,0.0,0.0,157640.5
1696,2013,3,OTHE,1.0,0.0,1.0,0.0,0.0,0.0,2682.8
1221,2013,3,STONOTAVA,5.11,0.0,5.11,0.0,0.0,0.0,16302.98
175,2013,3,NOTINV,10.0,0.0,10.0,0.0,0.0,0.0,27562.32
1710,2013,3,STONOTAVA,8.02,0.0,8.02,0.0,0.0,0.0,22845.96
1610,2013,3,STONOTAVA,4.67,0.0,4.67,0.0,0.0,0.0,13385.88
592,2013,3,STONOTAVA,96.13,0.0,96.13,0.0,0.0,0.0,190429.86
116,2013,3,STONOTAVA,32.0,0.0,32.0,0.0,0.0,0.0,91183.74
150,2013,3,OTHE,8.0,0.0,8.0,0.0,0.0,0.0,18414.72
359,2013,3,STONOTAVA,5.0,0.0,5.0,0.0,0.0,0.0,20323.86
1430,2013,3,STONOTAVA,63.48,0.0,63.48,0.0,0.0,0.0,218475.18
50,2013,3,STONOTAVA,0.02,0.0,0.02,0.0,0.0,0.0,83.18
256,2013,3,STONOTAVA,94.0,0.0,94.0,0.0,0.0,0.0,308421.6
1306,2013,3,CREISS,235.0,0.0,235.0,0.0,0.0,0.0,892046.26
1505,2013,3,OTHE,24.0,0.0,24.0,0.0,0.0,0.0,137142.72
1301,2013,3,NOTINV,41.0,0.0,41.0,0.0,0.0,0.0,36408.0
1600,2013,3,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,14214.4
1780,2013,3,STONOTAVA,51.13,0.0,51.13,0.0,0.0,0.0,173322.48
2244,2013,3,STONOTAVA,124.0,0.0,124.0,0.0,0.0,0.0,436315.16
2267,2013,3,OTHE,15.0,0.0,15.0,0.0,0.0,0.0,55237.5
158,2013,3,STONOTAVA,50.0,0.0,50.0,0.0,0.0,0.0,115802.32
1498,2013,3,STONOTAVA,46.0,0.0,46.0,0.0,0.0,0.0,162791.8
141,2013,3,STONOTAVA,190.0,0.0,190.0,0.0,0.0,0.0,450655.68
1229,2013,3,STONOTAVA,4.37,0.0,4.37,0.0,0.0,0.0,14763.68
1507,2013,3,STONOTAVA,161.0,0.0,161.0,0.0,0.0,0.0,746057.44
1053,2013,3,STONOTAVA,9.0,0.0,9.0,0.0,0.0,0.0,34762.52
1245,2013,3,CREISS,46.0,0.0,46.0,0.0,0.0,0.0,193367.36
2351,2013,3,STONOTAVA,7.3,0.0,7.3,0.0,0.0,0.0,25905.33
1903,2013,3,STONOTAVA,7.3,0.0,7.3,0.0,0.0,0.0,21530.2
112,2013,3,STONOTAVA,115.88,0.0,115.88,0.0,0.0,0.0,304329.16
1027,2013,3,STONOTAVA,68.7,0.0,68.7,0.0,0.0,0.0,189653.68
1375,2013,3,STONOTAVA,7.11,0.0,7.11,0.0,0.0,0.0,20541.26
1316,2013,3,STONOTAVA,156.17,0.0,156.17,0.0,0.0,0.0,686124.95
1781,2013,3,STONOTAVA,10.0,0.0,10.0,0.0,0.0,0.0,23265.08
450,2013,3,STONOTAVA,53.27,0.0,53.27,0.0,0.0,0.0,179277.34
1038,2013,3,CREISS,64.0,0.0,64.0,0.0,0.0,0.0,159794.2
2481,2013,3,STONOTAVA,111.0,0.0,111.0,0.0,0.0,0.0,355279.72
1905,2013,3,STONOTAVA,9.0,0.0,9.0,0.0,0.0,0.0,25975.28
1381,2013,3,STONOTAVA,10.42,0.0,10.42,0.0,0.0,0.0,30581.6
1633,2013,3,NOTINV,12.2,0.0,12.2,0.0,0.0,0.0,39474.84
2352,2013,3,STONOTAVA,14.0,0.0,14.0,0.0,0.0,0.0,41816.36
157,2013,3,STONOTAVA,46.0,0.0,46.0,0.0,0.0,0.0,111335.94
2340,2013,3,CREISS,84.0,0.0,84.0,0.0,0.0,0.0,366676.32
457,2013,3,STONOTAVA,43.0,0.0,43.0,0.0,0.0,0.0,196189.68
2199,2013,3,CREISS,24.0,0.0,24.0,0.0,0.0,0.0,119451.92
1085,2013,3,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,6561.44
1548,2013,3,STONOTAVA,68.57,0.0,68.57,0.0,0.0,0.0,210746.07
607,2013,3,STONOTAVA,7.17,0.0,7.17,0.0,0.0,0.0,25894.78
1030,2013,3,STONOTAVA,189.4,0.0,189.4,0.0,0.0,0.0,574523.7
2075,2013,3,STONOTAVA,25.53,0.0,25.53,0.0,0.0,0.0,91319.59
2012,2013,3,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,6850.8
241,2013,3,STONOTAVA,87.0,0.0,87.0,0.0,0.0,0.0,348109.52
307,2013,3,STONOTAVA,23.88,0.0,23.88,0.0,0.0,0.0,87461.46
9,2013,3,STONOTAVA,51.6,0.0,51.6,0.0,0.0,0.0,354922.35
221,2013,3,STONOTAVA,91.6,0.0,91.6,0.0,0.0,0.0,364831.58
546,2013,3,STONOTAVA,102.2,0.0,102.2,0.0,0.0,0.0,449972.9
330,2013,3,STONOTAVA,4.0,0.0,4.0,0.0,0.0,0.0,12594.0
961,2013,3,STONOTAVA,62.4,0.0,62.4,0.0,0.0,0.0,226227.36
1258,2013,3,STONOTAVA,19.33,0.0,19.33,0.0,0.0,0.0,78049.92
262,2013,3,STONOTAVA,16.4,0.0,16.4,0.0,0.0,0.0,54610.84
608,2013,3,STONOTAVA,88.04,0.0,88.04,0.0,0.0,0.0,214089.76
