customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
2253,Deqhs Metro,DELHM,10,2012,8258558.262,0,1877300.906,0,6381257.356
999,Bengaq North,BENGN,7,2013,804447.83,120313.36,186552.84,0,617894.99
326,Pune North,PUNEN,11,2012,1010424.025,590518.362,799633.295,0,210790.73
2792,Western UP,WESTU,11,2013,99558.17,0,99558.17,0,0
1411,Bshar West,BIHAW,2,2012,2073547.27,315217.6,1932654.64,0,140892.63
252,Hyderabad 2,HYDE2,8,2012,1884383.267,1771508.01,1771508.01,0,112875.257
2105,Koqhata,KOLK,2,2012,2088129.09,205902.38,420068.59,0,1668060.5
1470,Western MP,WESTM,10,2012,1287852.138,633300.104,959686.826,0,328165.312
1000,Vsjaywada,VIJA,1,2012,7305695.781,0,6027560.251,0,1278135.53
296,Mumbas 2,MUMB2,12,2013,6098791.618,0,81.81,0,6098709.808
393,Haryana & HP,HARY&,8,2013,5720299.577,122879.39,451763.317,0,5268536.26
2106,Punjab,PUNJ,4,2012,2152882.765,0,664736.637,0,1488146.128
264,Western MP,WESTM,4,2012,2791850.919,0,998761.58,0,1793089.339
2182,NER,NER,11,2013,2367944.881,0,1060080.303,0,1307864.578
648,NER,NER,10,2012,1586952.114,0,564959.85,0,1021992.264
1806,Rajasthan,RAJA,11,2012,1320051.109,375451.197,525744.969,0,794306.14
1956,NER,NER,11,2012,192981.28,0,98.04,0,192883.24
44,Vsjaywada,VIJA,8,2013,1726018.256,286426.734,446508.714,0,1279509.542
291,Pune South,PUNES,7,2012,601146.44,0,85971.36,0,515175.08
555,Hubqs,HUBL,4,2013,1616692.591,11713.6,260162.6,0,1356529.991
1713,Western UP,WESTU,8,2013,1082104.584,97628.28,374612.01,0,707492.574
556,Cosmbatore,COIM,12,2012,991655.781,0,123521.913,0,868133.868
2461,Western MP,WESTM,12,2013,3103511.244,0,413013.984,0,2690497.26
746,Bshar West,BIHAW,2,2011,5079370,0,4435350.52,0,644019.48
1905,Rajasthan,RAJA,10,2012,927326.943,0,284197.828,0,643129.115
91,Nagpur,NAGP,7,2012,1075472.2,0,628386.24,0,447085.96
613,Eastern MP,EASTM,10,2011,2968732.66,1212052.3,1293005.1,0,1675727.56
2351,Gujarat North,GUJAN,5,2013,1315726.326,284000.08,570997.61,0,744728.716
170,Centraq UP,CENTU,2,2013,2575980.747,2120412.551,2274793.437,0,301187.31
106,Chennas,CHEN,4,2013,1049643.197,0,187289.604,0,862353.593
165,Western UP,WESTU,9,2012,5193224.896,2040154.986,3020375.512,0,2172849.384
1989,Punjab,PUNJ,1,2013,2068051.666,187960.151,458541.909,0,1609509.757
144,Bangaqore,BANG,12,2012,4125370.23,2346355.55,3983441.86,0,141928.37
842,Eastern MP,EASTM,2,2011,2281939.1,2143785.95,2185877.63,0,96061.47
1228,Rajasthan,RAJA,2,2013,1316008.16,1054631.03,1134273.81,0,181734.35
729,Western UP,WESTU,8,2013,5432909.94,1106832.199,1742320.278,0,3690589.662
1854,Bengaq North,BENGN,8,2011,3101835.47,2704308.61,2817615.92,0,284219.55
