asm_area_code,customer_code,month,year,pri_ind_bpm_actuals,pri_sales_amount
BANG,145,1,2013,6968836.009,7635095.62
HUBL,1621,1,2013,4514388.599,4749547.71
BANG,144,1,2011,0,7105757.88
COIM,163,10,2011,1817724.877,1905914.17
CHEN,1068,12,2011,806452.9585,824895.35
PUNEN,448,10,2012,6113946.783,6349208.37
CENTU,279,12,2011,613477.5449,625037.13
JHAR,541,5,2012,1804667.484,2018996.25
PUNES,1072,6,2012,1524947.857,1464643.29
NER,1672,10,2011,501513.5336,532522.88
NAGP,98,4,2012,7193685.509,6870970.82
CENTU,1139,1,2012,1118645.373,1175937.4
HYDE2,1422,3,2012,445014.3985,416699.99
ORIS,356,2,2012,2202693.91,2278550.3
HUBL,370,2,2011,0,3942913.99
KOLK,1399,1,2011,0,2370961.89
BIHAE,1219,1,2011,0,813886.42
HYDE2,1422,1,2013,866888.2296,940766.99
KERA,586,8,2011,2756087.38,3195673.63
PUNEN,960,5,2011,2032001.074,2321838.3
NER,217,5,2012,4137304.055,3922873.66
CHEN,108,2,2012,1958324.876,1950719.58
WESTU,729,10,2012,2839160.75,3154453.76
RAJA,1228,5,2011,983571.3395,1097936.88
COIM,160,5,2012,1082132.937,1106992.7
ORIS,356,9,2011,2159970.793,2378966.59
PUNJ,238,6,2012,677050.8535,710415.54
BANG,144,4,2012,5472106.435,5358370.66
PUNES,1072,4,2011,1742846.796,1842359.6
DELHM,1596,11,2011,10258952.95,11039070.37
KOLK,1399,4,2012,-434548.9144,-522123.71
GUJAS,1449,10,2012,1531862.515,1671055.97
ORIS,356,5,2012,1893984.676,2179070.2
PUNEN,79,9,2011,1356491.941,1513979.26
EASTM,593,4,2011,5418140.296,6041931.36
NAGP,94,3,2012,681820.3008,642022.44
KERA,1384,5,2012,1465452.798,1566662.79
KERA,1345,5,2012,791914.5414,840365.01
NER,1956,6,2012,594798.6916,694258.1
MUMB2,1317,2,2011,0,3611494.29
BENGN,999,12,2011,743367.2981,759060.18
BANG,148,2,2011,0,2588815.98
WESTU,1027,10,2011,3249902.633,3544931.31
HARY&,424,8,2011,5533217.417,6103439.5
BIHAW,1411,6,2011,970832.7046,1078240.69
HYDE2,252,1,2012,1026134.252,974422.48
VIJA,455,3,2012,3119900.426,2836056.34
NAGP,1036,5,2011,5013990.705,5622021.74
VIJA,1426,9,2012,3231996.711,3500322.62
CHEN,1068,7,2012,695519.4923,739888.65
JHAR,540,8,2012,819290.6633,909564.85
HYDE2,1381,11,2013,4175557.795,5218256.74
GUJAS,1006,9,2012,2701923.609,3143869.29
PUNES,1122,9,2012,472300.833,487545.72
DELHM,2253,8,2012,9741884.751,10065464.59
GUJAS,997,7,2012,566550.4891,613670.74
GUJAS,399,2,2013,1930781.863,2204644.05
BENGN,2354,5,2013,7185622.565,7905646.99
DELHM,1174,5,2013,3763217.536,4165668.67
JHAR,798,10,2013,3106327.243,3629117.29
DELHM,1809,4,2013,3046795.053,3337846.16
NER,1672,7,2013,532278.0833,570515
ORIS,1927,12,2013,2784022.235,3391600.15
HARY&,68,4,2013,1632646.535,1714005.63
EASTM,1929,5,2013,1310730.162,1554154.83
PUNJ,2530,4,2013,736182.1079,793551.76
WESTM,361,11,2012,1794010.147,2099713.28
BANG,1756,1,2013,2960835.25,3179769.34
COIM,873,4,2013,946848.8886,1040673.13
PUNEN,628,4,2012,3843869.321,3778193.26
HARY&,64,2,2012,1710982.68,1755934.38
PUNES,1608,9,2013,3175400.58,3776821.82
PUNEN,330,6,2012,1102597.473,1035908.92
MUMB1,1243,5,2012,3884151.5,3975972.47
HUBL,181,12,2012,2872318.403,3005711.05
JHAR,542,11,2012,304828.5708,342337.54
PUNES,83,5,2011,2068838.785,2315812.66
VIJA,1000,5,2011,5306767.575,5916519.61
KERA,596,5,2012,1808044.115,1940393.24
KERA,1384,11,2012,1067704.699,1125904.08
BIHAE,1219,11,2012,757863.3669,810250.91
NER,217,11,2012,3611868.277,3504477.22
PUNEN,448,11,2012,3784283.68,4018572.7
HARY&,1722,1,2013,1146753.295,1246525.95
CENTU,2031,11,2012,254694.4994,287506.79
PUNJ,232,10,2011,721783.463,786993.73
WESTM,271,4,2012,2529080.099,2633256.63
GUJAN,1574,1,2011,0,4616093.92
KERA,944,12,2012,1517836.257,1593127.88
NER,2011,10,2011,772574.2207,837825.42
CHEN,105,2,2011,0,654865.09
BENGN,1904,4,2012,282189.0904,306963.88
ORIS,475,5,2011,1049337.513,1150388.05
KERA,879,10,2011,1483669.373,1557878.39
JHAR,360,5,2011,4503141.954,5157738.65
MUMB1,1065,9,2012,10665128.45,10909363.82
MUMB1,1065,5,2012,8029279.787,8192699.18
RAJA,116,3,2012,1756003.277,1805504.35
WESTU,775,6,2012,6937795.798,7151873.9
BIHAE,1274,1,2012,643402.1006,641041.11
HUBL,1242,2,2011,0,2932154.45
KERA,1194,2,2011,0,2704584.84
HYDE2,258,6,2011,1270805.017,1351400.23
JHAR,550,4,2011,2142463.836,2631656.29
RAJA,114,12,2011,9671285.962,9976583.68
VIJA,341,9,2011,954254.4632,1014284.29
NAGP,764,12,2012,703023.233,724977.99
KERA,879,5,2011,1587414.118,1766484.92
JHAR,459,1,2011,0,1500536.61
VIJA,446,12,2012,1037579.303,1096335.6
HARY&,62,1,2011,0,665330.18
BENGN,2372,3,2013,147493.4945,169395.05
RAJA,115,5,2013,1645654.163,1882597.99
HYDE1,2282,10,2013,-179715.4364,-232729.95
NER,2470,9,2013,61009.38712,65374.84
CENTU,1222,3,2013,1386489.316,1701402.78
BANG,148,4,2013,1018792.046,1130239.94
BENGS,1284,8,2012,1844272.925,1964131.49
GUJAN,137,7,2012,1922224.15,2099622.08
PUNJ,619,9,2012,1026574.434,1005586.6
WESTU,303,10,2013,878549.5069,980717.16
WESTU,2066,8,2013,332645.9589,379858.24
VIJA,553,8,2012,1087217.248,1114561.37
CENTU,280,9,2013,1519556.415,1625251.39
MUMB1,56,6,2013,21317533.69,23661803.01
WESTM,1186,9,2013,9341817.334,10345280.79
HYDE2,1422,5,2013,1097928.835,1215756.14
RAJA,2460,4,2013,1618287.534,1772542.35
KERA,152,7,2013,3725078.807,4166041.22
RAJA,126,10,2013,2154967.098,2378137.08
CHEN,440,5,2013,3142292.447,3599710.03
BANG,2458,7,2013,772525.9317,889666.3
WESTU,306,6,2013,981584.077,1158313.6
RAJA,2176,11,2013,2341867.293,2649245.45
VIJA,354,4,2013,1093148.825,1285691.21
KOLK,1849,6,2013,3505839.117,4216539.22
WESTU,383,10,2013,2448614.013,2634341.86
HYDE2,1014,9,2013,1467146.554,1719185.67
PUNES,2504,6,2013,1293522.333,1514730.51
EASTU,275,8,2013,1620708.437,1710571.88
PUNEN,1351,8,2013,859856.7746,985931.84
ORIS,13,11,2013,617005.7851,675499.06
EASTM,71,10,2013,2174068.687,2356484.88
WESTU,2155,10,2013,151246.3333,178159.16
GUJAN,2349,9,2013,1386664.98,1512793.98
BIHAE,803,9,2013,932190.8821,1016999.98
MUMB2,482,12,2013,4066146.407,4684815.31
BENGS,1401,8,2013,681582.6997,792270.11
EASTM,593,12,2013,5156088.8,5538393.39
KERA,1207,12,2013,3186226.784,4007373.68
PUNES,327,12,2013,1466591.973,1925688.82
WESTM,1055,11,2012,5367990.743,5867861.71
PUNES,1579,1,2013,1295414.812,1317343.03
BANG,1146,1,2011,0,7905991.05
BIHAE,533,7,2012,2018501.005,2164878.37
VIJA,1103,4,2011,1813564.651,1989325.79
MUMB1,1392,3,2012,24064364.3,24163020.9
NER,1001,8,2011,4706016.296,4461174.92
VIJA,49,4,2011,1405634.313,1597268.28
GUJAS,399,12,2012,1715486.385,1845671.72
NER,1840,10,2012,295226.7978,334318.04
MUMB2,296,9,2012,4087390.651,4284978.5
PUNEN,1214,3,2012,2126501.159,1957189.79
PUNJ,619,6,2012,683355.25,717077.04
KERA,1172,8,2011,550968.4382,634277.8
HYDE2,601,6,2011,680141.376,732280.51
BENGN,1008,6,2012,1733243.674,1765735.05
PUNJ,235,2,2012,841714.7774,853388.78
BANG,1756,5,2011,2825738.473,3017257.27
DELHM,406,1,2011,0,6201759.33
PUNES,403,1,2011,0,4895993.77
HUBL,450,1,2013,3731029.739,4101586.03
NER,220,1,2013,2086917.331,2530273.69
CHEN,1780,1,2012,5946540.92,5932274.98
PUNEN,1214,8,2011,3327785.779,3613700.19
RAJA,1806,7,2011,994699.4579,1105107.66
HUBL,353,1,2012,2013075.517,1824587
PUNJ,1989,12,2012,3130261.702,3233383.61
PUNES,1122,2,2011,0,600663.52
BENGS,23,3,2012,261609.8578,282804.44
VIJA,43,4,2011,3256424.248,3547495.6
MUMB1,1536,5,2011,7707429.543,8601295.84
KERA,597,7,2011,1642368.663,1862069.52
BANG,1526,6,2012,11758287.76,11635510.23
WESTU,465,6,2012,4150349.77,4380618.55
HYDE2,257,3,2011,0,1322344.73
CENTU,170,3,2011,0,186459.6
RAJA,122,5,2011,2193733.65,2495236.76
WESTU,383,6,2011,3360029.187,3685853.91
EASTU,1044,10,2012,776916.4028,861541.74
HYDE2,1562,11,2011,1446988.702,1436779.82
WESTM,263,7,2011,1158502.592,1349559.51
COIM,163,1,2011,0,1904489.67
HUBL,353,12,2012,559972.9511,605779.98
CHEN,315,6,2012,760792.9509,770492.2
PUNEN,1171,9,2011,1700409.045,1859070.77
PUNJ,235,9,2011,951656.9264,1017219.91
NAGP,90,1,2011,0,999878.08
WESTU,846,3,2012,383397.7791,416057.94
JHAR,957,3,2011,0,1204677.07
ORIS,883,7,2012,1992345.428,2326220.38
GUJAS,747,9,2011,1532201.088,1758326.36
ORIS,11,1,2012,1110683.55,1163871.96
RAJA,1455,3,2011,0,2463666.62
BIHAE,1274,11,2011,1070816.244,1087549.68
KOLK,1824,10,2013,7227942.071,8425109.45
NER,243,9,2013,5821145.112,6233755.04
NER,648,10,2013,-368802.586,-433335.26
PUNEN,80,9,2013,707784.4649,801862.8
KERA,597,12,2013,1938814.534,2474271.44
CENTU,645,11,2012,764360.7037,833047.24
WESTM,266,11,2012,905921.6682,973430.01
MUMB2,1317,1,2013,2360972.108,2478693.08
VIJA,1391,3,2011,0,970714.02
KOLK,1663,1,2011,0,-1173441.07
NER,2182,10,2012,1746030.946,1902566.32
KERA,584,6,2012,1635939.633,1760563.97
GUJAS,997,1,2012,906286.198,918493.89
HYDE2,473,4,2011,3521801.441,3752399.83
GUJAS,607,9,2011,2023578.279,2216746.86
VIJA,1674,1,2013,1216630.071,1302565.69
GUJAS,1449,12,2012,3168188.784,3355396.42
KERA,349,3,2011,0,1797231.36
DELHM,1316,5,2011,3896334.063,4479956.19
HUBL,1430,7,2011,923792.9594,1013558.74
KERA,158,12,2011,4893428.098,5166886.36
CHEN,1916,1,2013,779223.7961,841948.68
HUBL,1844,1,2013,2664987.299,2766243.41
NAGP,2269,1,2013,1820791.481,1950789.82
COIM,1223,7,2011,1290814.839,1453382.19
HARY&,59,5,2011,953317.0128,1080735.63
NAGP,95,1,2012,2243923.688,2226564.67
BIHAE,539,4,2011,6089813.339,6436754.33
